iter	Passed	Remaining
0	153	153534
1	154	77261
2	155	51728
3	156	38954
4	157	31286
5	157	26148
6	158	22534
7	159	19799
8	160	17701
9	161	15990
10	163	14682
11	164	13530
12	165	12538
13	165	11681
14	166	10930
15	167	10271
16	167	9695
17	168	9185
18	168	8723
19	169	8308
20	170	7939
21	170	7596
22	171	7285
23	172	7003
24	172	6741
25	173	6496
26	173	6269
27	174	6059
28	175	5867
29	176	5696
30	177	5548
31	178	5414
32	179	5271
33	180	5136
34	181	5003
35	182	4877
36	182	4758
37	183	4646
38	184	4539
39	184	4435
40	185	4337
41	186	4243
42	186	4156
43	187	4072
44	188	4004
45	189	3925
46	189	3851
47	190	3783
48	191	3719
49	193	3680
50	194	3625
51	195	3568
52	196	3512
53	197	3454
54	197	3399
55	198	3345
56	199	3293
57	199	3242
58	200	3195
59	201	3149
60	201	3104
61	202	3061
62	202	3017
63	203	2975
64	204	2934
65	204	2895
66	205	2858
67	205	2823
68	207	2795
69	208	2769
70	209	2738
71	210	2708
72	210	2676
73	211	2644
74	212	2616
75	212	2586
76	213	2556
77	213	2527
78	214	2500
79	215	2472
80	215	2445
81	216	2419
82	216	2391
83	217	2366
84	217	2342
85	218	2319
86	218	2296
87	219	2274
88	220	2253
89	220	2233
90	221	2213
91	222	2192
92	222	2173
93	223	2154
94	224	2134
95	224	2115
96	225	2096
97	225	2077
98	226	2059
99	226	2042
100	227	2024
101	228	2007
102	228	1990
103	229	1974
104	229	1958
105	230	1942
106	230	1926
107	231	1911
108	231	1896
109	232	1880
110	233	1866
111	233	1851
112	234	1837
113	234	1824
114	235	1812
115	236	1799
116	236	1786
117	237	1774
118	238	1762
119	238	1750
120	239	1738
121	239	1726
122	240	1714
123	241	1703
124	241	1691
125	242	1680
126	243	1670
127	243	1659
128	244	1648
129	244	1637
130	245	1626
131	245	1616
132	246	1606
133	246	1596
134	247	1586
135	248	1576
136	248	1566
137	249	1557
138	250	1549
139	250	1540
140	251	1531
141	251	1522
142	252	1513
143	253	1504
144	253	1496
145	254	1488
146	255	1480
147	255	1471
148	256	1463
149	256	1455
150	257	1447
151	257	1438
152	258	1431
153	259	1423
154	259	1415
155	260	1407
156	260	1400
157	261	1393
158	262	1386
159	262	1379
160	263	1371
161	263	1364
162	264	1356
163	264	1349
164	265	1342
165	265	1336
166	266	1329
167	267	1322
168	267	1316
169	268	1309
170	268	1303
171	269	1296
172	270	1290
173	270	1284
174	271	1277
175	271	1271
176	272	1265
177	272	1258
178	273	1252
179	273	1246
180	274	1241
181	274	1235
182	275	1229
183	276	1224
184	276	1218
185	277	1212
186	277	1207
187	278	1201
188	278	1196
189	279	1191
190	280	1186
191	280	1182
192	281	1177
193	282	1173
194	282	1167
195	283	1163
196	284	1159
197	285	1154
198	285	1149
199	286	1145
200	286	1140
201	287	1135
202	288	1130
203	288	1126
204	289	1121
205	289	1116
206	290	1112
207	290	1107
208	291	1103
209	292	1099
210	292	1094
211	293	1090
212	294	1086
213	294	1082
214	295	1077
215	295	1074
216	296	1070
217	297	1066
218	297	1062
219	298	1058
220	299	1054
221	299	1050
222	300	1046
223	300	1042
224	301	1038
225	301	1033
226	302	1030
227	303	1026
228	303	1022
229	304	1018
230	304	1015
231	305	1011
232	306	1008
233	306	1004
234	307	1000
235	307	996
236	308	992
237	309	989
238	309	985
239	310	982
240	310	979
241	311	976
242	312	972
243	312	969
244	313	966
245	314	963
246	314	960
247	315	956
248	316	953
249	316	950
250	317	946
251	317	943
252	318	940
253	319	937
254	319	933
255	320	930
256	320	927
257	321	924
258	322	921
259	322	918
260	323	915
261	324	912
262	324	910
263	325	907
264	326	904
265	326	901
266	327	899
267	328	896
268	329	894
269	329	891
270	330	888
271	330	885
272	331	882
273	331	879
274	332	876
275	332	873
276	333	870
277	334	868
278	334	865
279	335	862
280	336	859
281	336	857
282	337	854
283	337	851
284	338	848
285	338	846
286	339	843
287	340	841
288	341	839
289	342	837
290	342	835
291	343	833
292	344	830
293	344	828
294	345	825
295	345	822
296	346	820
297	347	817
298	347	814
299	348	812
300	348	810
301	349	807
302	350	805
303	350	803
304	351	800
305	352	798
306	352	796
307	353	793
308	353	791
309	354	789
310	355	787
311	356	785
312	357	783
313	357	781
314	358	779
315	359	777
316	359	775
317	360	772
318	361	770
319	361	768
320	362	766
321	362	763
322	363	761
323	363	758
324	364	756
325	364	754
326	365	751
327	365	749
328	366	747
329	366	744
330	367	742
331	368	741
332	368	738
333	369	736
334	369	734
335	370	732
336	371	729
337	371	727
338	372	725
339	372	723
340	373	721
341	374	719
342	374	717
343	375	715
344	375	713
345	376	711
346	377	709
347	377	707
348	378	705
349	378	703
350	379	701
351	379	698
352	380	696
353	380	694
354	381	692
355	381	690
356	382	688
357	382	686
358	383	685
359	384	683
360	384	681
361	385	679
362	385	677
363	386	675
364	387	673
365	387	671
366	388	670
367	389	668
368	389	666
369	390	664
370	390	662
371	391	660
372	391	658
373	392	656
374	393	655
375	393	653
376	394	651
377	394	649
378	395	647
379	395	645
380	396	643
381	396	642
382	397	640
383	398	638
384	398	636
385	399	635
386	399	633
387	400	631
388	400	629
389	401	627
390	401	626
391	402	624
392	403	623
393	404	621
394	404	619
395	405	618
396	405	616
397	406	614
398	406	612
399	407	611
400	408	609
401	408	607
402	409	606
403	409	604
404	410	602
405	410	601
406	411	599
407	412	597
408	412	596
409	413	595
410	414	593
411	415	592
412	415	590
413	416	589
414	417	588
415	417	586
416	418	585
417	419	583
418	419	581
419	420	580
420	420	578
421	421	577
422	422	576
423	422	574
424	423	572
425	423	571
426	424	569
427	425	568
428	425	566
429	426	564
430	427	563
431	427	562
432	428	560
433	428	559
434	429	557
